canonical_id,column_excel,sheet,study,granularity,db_target,in_ecmo,in_acc,overlap_ecmo_acc,occurrence_count,all_db_targets,patient_scenarios,unified_collection
unique.POSTCARDIOTOMICO,POSTCARDIOTOMICO,ANAGRAFICA,ECMO,patient_once,ECMO → ANAGRAFICA → POSTCARDIOTOMICO,True,False,False,1,ECMO → ANAGRAFICA → POSTCARDIOTOMICO,Vedi foglio,PER STUDIO/FOGLIO
patient.weight,PESO,ANAGRAFICA,ECMO,patient_once,ECMO → ANAGRAFICA → PESO,True,True,True,2,ACC → Anagrafica → PESO || ECMO → ANAGRAFICA → PESO,Tutti: solo ACC | solo ECMO | entrambi,UNIFICARE (1 inserimento)
patient.height,ALTEZZA,ANAGRAFICA,ECMO,patient_once,ECMO → ANAGRAFICA → ALTEZZA,True,True,True,2,ACC → Anagrafica → ALTEZZA  || ECMO → ANAGRAFICA → ALTEZZA,Tutti: solo ACC | solo ECMO | entrambi,UNIFICARE (1 inserimento)
unique.DATA_INGRESSO_H,DATA INGRESSO H,ANAGRAFICA,ECMO,patient_once,ECMO → ANAGRAFICA → DATA INGRESSO H,True,False,False,1,ECMO → ANAGRAFICA → DATA INGRESSO H,Vedi foglio,PER STUDIO/FOGLIO
unique.ORA_INGRESSO_H,ORA INGRESSO H,ANAGRAFICA,ECMO,patient_once,ECMO → ANAGRAFICA → ORA INGRESSO H,True,False,False,1,ECMO → ANAGRAFICA → ORA INGRESSO H,Vedi foglio,PER STUDIO/FOGLIO
unique.DATA_INGRESSO_ICU,DATA INGRESSO ICU,ANAGRAFICA,ECMO,patient_once,ECMO → ANAGRAFICA → DATA INGRESSO ICU,True,False,False,1,ECMO → ANAGRAFICA → DATA INGRESSO ICU,Vedi foglio,PER STUDIO/FOGLIO
unique.ORA_INGRESSO_ICU,ORA INGRESSO ICU,ANAGRAFICA,ECMO,patient_once,ECMO → ANAGRAFICA → ORA INGRESSO ICU,True,False,False,1,ECMO → ANAGRAFICA → ORA INGRESSO ICU,Vedi foglio,PER STUDIO/FOGLIO
unique.NOTE,NOTE,ANAGRAFICA,ECMO,patient_once,ECMO → ANAGRAFICA → NOTE,True,False,False,1,ECMO → ANAGRAFICA → NOTE,Vedi foglio,PER STUDIO/FOGLIO
unique.N_RUN,N RUN,ANAGRAFICA,ECMO,patient_once,ECMO → ANAGRAFICA → N RUN,True,False,False,1,ECMO → ANAGRAFICA → N RUN,Vedi foglio,PER STUDIO/FOGLIO
patient.phone,TEL,ANAGRAFICA,ECMO,patient_once,ECMO → ANAGRAFICA → TEL,True,True,True,2,ACC → Anagrafica → TEL || ECMO → ANAGRAFICA → TEL,Tutti: solo ACC | solo ECMO | entrambi,UNIFICARE (1 inserimento)
patient.email,MAIL,ANAGRAFICA,ECMO,patient_once,ECMO → ANAGRAFICA → MAIL,True,True,True,2,ACC → Anagrafica → MAIL || ECMO → ANAGRAFICA → MAIL,Tutti: solo ACC | solo ECMO | entrambi,UNIFICARE (1 inserimento)
unique.NOTE_1,NOTE.1,ANAGRAFICA,ECMO,patient_once,ECMO → ANAGRAFICA → NOTE.1,True,False,False,1,ECMO → ANAGRAFICA → NOTE.1,Vedi foglio,PER STUDIO/FOGLIO
unique.CHI_HA_INSERITO,CHI HA INSERITO ,ANAGRAFICA,ECMO,patient_once,ECMO → ANAGRAFICA → CHI HA INSERITO ,True,False,False,1,ECMO → ANAGRAFICA → CHI HA INSERITO ,Vedi foglio,PER STUDIO/FOGLIO
unique.CALCOLO_ETA,CALCOLO ETA,ANAGRAFICA,ECMO,patient_once,ECMO → ANAGRAFICA → CALCOLO ETA,True,False,False,1,ECMO → ANAGRAFICA → CALCOLO ETA,Vedi foglio,PER STUDIO/FOGLIO
patient.age,ANNI,ANAGRAFICA,ECMO,patient_once,ECMO → ANAGRAFICA → ANNI,True,True,True,2,ACC → Anagrafica → AGE || ECMO → ANAGRAFICA → ANNI,Tutti: solo ACC | solo ECMO | entrambi,UNIFICARE (1 inserimento)
unique.18_41,18:41,RUN,ECMO,ecmo_run_header,ECMO → RUN → 18:41,True,False,False,1,ECMO → RUN → 18:41,"Ogni run ECMO (run 1, 2, …); anche ECMO dopo ACC",PER STUDIO/FOGLIO
patient.sdo,SDO,RUN,ECMO,ecmo_run_header,ECMO → RUN → SDO,True,True,True,30,ACC → 6 - 12H → SDO || ACC → Ammissione → SDO || ACC → Anagrafica → SDO || ACC → Anamnesi → SDO || ACC → DAY 1 → SDO || ACC → DAY 2 → SDO || ACC → DAY 3 → SDO || ACC → Outcome → SDO || ACC → PS → SDO || ACC → Pre-H → SDO || ECMO → 24HRS ECLS ASSESSMENT → SDO || ECMO → ANAGRAFICA → SDO || ECMO → CANNULA → SDO || ECMO → CARDIAC SURGERY PROCEDURES → SDO || ECMO → CARDIAC → SDO || ECMO → CATH DURING ECMO → SDO || ECMO → COMPLICANZE → SDO || ECMO → DIAGNOSI → SDO || ECMO → ECLS CARE → SDO || ECMO → ECPR 24HRS → SDO || ECMO → ECPR ACC → SDO || ECMO → ECPR INCANULAMENTO → SDO || ECMO → ECPR_ANAMNESI → SDO || ECMO → EQUIPMENT → SDO || ECMO → INFEZIONI → SDO || ECMO → OUTCOME → SDO || ECMO → PRE-ECLS ASSESSMENT → SDO || ECMO → PRE-ECLS SUPPORT → SDO || ECMO → PROCEDURES → SDO || ECMO → RUN → SDO,Tutti: solo ACC | solo ECMO | entrambi,UNIFICARE (1 inserimento)
patient.cognome,COGNOME,RUN,ECMO,ecmo_run_header,ECMO → RUN → COGNOME,True,True,True,30,ACC → 6 - 12H → COGNOME || ACC → Ammissione → COGNOME || ACC → Anagrafica → COGNOME || ACC → Anamnesi → COGNOME || ACC → DAY 1 → COGNOME || ACC → DAY 2 → COGNOME || ACC → DAY 3 → COGNOME || ACC → Outcome → COGNOME || ACC → PS → COGNOME || ACC → Pre-H → COGNOME || ECMO → 24HRS ECLS ASSESSMENT → COGNOME || ECMO → ANAGRAFICA → COGNOME || ECMO → CANNULA → COGNOME || ECMO → CARDIAC SURGERY PROCEDURES → COGNOME || ECMO → CARDIAC → COGNOME || ECMO → CATH DURING ECMO → COGNOME || ECMO → COMPLICANZE → COGNOME || ECMO → DIAGNOSI → COGNOME || ECMO → ECLS CARE → COGNOME || ECMO → ECPR 24HRS → COGNOME || ECMO → ECPR ACC → COGNOME || ECMO → ECPR INCANULAMENTO → COGNOME || ECMO → ECPR_ANAMNESI → COGNOME || ECMO → EQUIPMENT → COGNOME || ECMO → INFEZIONI → COGNOME || ECMO → OUTCOME → COGNOME || ECMO → PRE-ECLS ASSESSMENT → COGNOME || ECMO → PRE-ECLS SUPPORT → COGNOME || ECMO → PROCEDURES → COGNOME || ECMO → RUN → COGNOME,Tutti: solo ACC | solo ECMO | entrambi,UNIFICARE (1 inserimento)
patient.nome,NOME,RUN,ECMO,ecmo_run_header,ECMO → RUN → NOME,True,True,True,30,ACC → 6 - 12H → NOME || ACC → Ammissione → NOME || ACC → Anagrafica → NOME || ACC → Anamnesi → NOME || ACC → DAY 1 → NOME || ACC → DAY 2 → NOME || ACC → DAY 3 → NOME || ACC → Outcome → NOME || ACC → PS → NOME || ACC → Pre-H → NOME || ECMO → 24HRS ECLS ASSESSMENT → NOME || ECMO → ANAGRAFICA → NOME || ECMO → CANNULA → NOME || ECMO → CARDIAC SURGERY PROCEDURES → NOME || ECMO → CARDIAC → NOME || ECMO → CATH DURING ECMO → NOME || ECMO → COMPLICANZE → NOME || ECMO → DIAGNOSI → NOME || ECMO → ECLS CARE → NOME || ECMO → ECPR 24HRS → NOME || ECMO → ECPR ACC → NOME || ECMO → ECPR INCANULAMENTO → NOME || ECMO → ECPR_ANAMNESI → NOME || ECMO → EQUIPMENT → NOME || ECMO → INFEZIONI → NOME || ECMO → OUTCOME → NOME || ECMO → PRE-ECLS ASSESSMENT → NOME || ECMO → PRE-ECLS SUPPORT → NOME || ECMO → PROCEDURES → NOME || ECMO → RUN → NOME,Tutti: solo ACC | solo ECMO | entrambi,UNIFICARE (1 inserimento)
ecmo.lens_id,ECMO LENS,RUN,ECMO,ecmo_run_header,ECMO → RUN → ECMO LENS,True,False,False,20,ECMO → 24HRS ECLS ASSESSMENT → ECMO LENS || ECMO → ANAGRAFICA → ECMO LENS || ECMO → CANNULA → ECMO LENS || ECMO → CARDIAC SURGERY PROCEDURES → ECMO LENS || ECMO → CARDIAC → ECMO LENS || ECMO → CATH DURING ECMO → ECMO LENS || ECMO → COMPLICANZE → ECMO LENS || ECMO → DIAGNOSI → ECMO LENS || ECMO → ECLS CARE → ECMO LENS || ECMO → ECPR 24HRS → ECMO LENS || ECMO → ECPR ACC → ECMO LENS || ECMO → ECPR INCANULAMENTO → ECMO LENS || ECMO → ECPR_ANAMNESI → ECMO LENS || ECMO → EQUIPMENT → ECMO LENS || ECMO → INFEZIONI → ECMO LENS || ECMO → OUTCOME → ECMO LENS || ECMO → PRE-ECLS ASSESSMENT → ECMO LENS || ECMO → PRE-ECLS SUPPORT → ECMO LENS || ECMO → PROCEDURES → ECMO LENS || ECMO → RUN → ECMO LENS,"Ogni run ECMO (run 1, 2, …); anche ECMO dopo ACC",PER STUDIO/FOGLIO
ecmo.elso_id,ELSO,RUN,ECMO,ecmo_run_header,ECMO → RUN → ELSO,True,False,False,20,ECMO → 24HRS ECLS ASSESSMENT → ELSO || ECMO → ANAGRAFICA → NUMERO ELSO || ECMO → CANNULA → ELSO || ECMO → CARDIAC SURGERY PROCEDURES → ELSO || ECMO → CARDIAC → ELSO || ECMO → CATH DURING ECMO → ELSO || ECMO → COMPLICANZE → ELSO || ECMO → DIAGNOSI → ELSO || ECMO → ECLS CARE → ELSO || ECMO → ECPR 24HRS → ELSO || ECMO → ECPR ACC → ELSO || ECMO → ECPR INCANULAMENTO → ELSO || ECMO → ECPR_ANAMNESI → ELSO || ECMO → EQUIPMENT → ELSO || ECMO → INFEZIONI → ELSO || ECMO → OUTCOME → ELSO || ECMO → PRE-ECLS ASSESSMENT → ELSO || ECMO → PRE-ECLS SUPPORT → ELSO || ECMO → PROCEDURES → ELSO || ECMO → RUN → ELSO,"Ogni run ECMO (run 1, 2, …); anche ECMO dopo ACC",PER STUDIO/FOGLIO
study.year,ANNO,RUN,ECMO,ecmo_run_header,ECMO → RUN → ANNO,True,True,True,21,ACC → Anagrafica → ANNO || ECMO → 24HRS ECLS ASSESSMENT → ANNO || ECMO → ANAGRAFICA → ANNO || ECMO → CANNULA → ANNO || ECMO → CARDIAC SURGERY PROCEDURES → ANNO || ECMO → CARDIAC → ANNO || ECMO → CATH DURING ECMO → ANNO || ECMO → COMPLICANZE → ANNO || ECMO → DIAGNOSI → ANNO || ECMO → ECLS CARE → ANNO || ECMO → ECPR 24HRS → ANNO || ECMO → ECPR ACC → ANNO || ECMO → ECPR INCANULAMENTO → ANNO || ECMO → ECPR_ANAMNESI → ANNO || ECMO → EQUIPMENT → ANNO || ECMO → INFEZIONI → ANNO || ECMO → OUTCOME → ANNO || ECMO → PRE-ECLS ASSESSMENT → ANNO || ECMO → PRE-ECLS SUPPORT → ANNO || ECMO → PROCEDURES → ANNO || ECMO → RUN → ANNO,"Ogni run ECMO (run 1, 2, …); anche ECMO dopo ACC",UNIFICARE (1 inserimento)
ecmo.run_number,RUN,RUN,ECMO,ecmo_run_header,ECMO → RUN → RUN,True,False,False,16,ECMO → 24HRS ECLS ASSESSMENT → RUN || ECMO → CANNULA → RUN || ECMO → CARDIAC SURGERY PROCEDURES → RUN || ECMO → CARDIAC → RUN || ECMO → CATH DURING ECMO → RUN || ECMO → COMPLICANZE → RUN || ECMO → DIAGNOSI → RUN || ECMO → ECLS CARE → RUN || ECMO → ECPR_ANAMNESI → RUN || ECMO → EQUIPMENT → RUN || ECMO → INFEZIONI → RUN || ECMO → OUTCOME → RUN || ECMO → PRE-ECLS ASSESSMENT → RUN || ECMO → PRE-ECLS SUPPORT → RUN || ECMO → PROCEDURES → RUN || ECMO → RUN → RUN,"Ogni run ECMO (run 1, 2, …); anche ECMO dopo ACC",PER STUDIO/FOGLIO
unique.START_DATE,START DATE,RUN,ECMO,ecmo_run_header,ECMO → RUN → START DATE,True,False,False,3,ECMO → ECLS CARE → START DATE || ECMO → EQUIPMENT → START DATE || ECMO → RUN → START DATE,"Ogni run ECMO (run 1, 2, …); anche ECMO dopo ACC",PER STUDIO/FOGLIO
unique.START_TIME,START TIME,RUN,ECMO,ecmo_run_header,ECMO → RUN → START TIME,True,False,False,2,ECMO → EQUIPMENT → START TIME || ECMO → RUN → START TIME,"Ogni run ECMO (run 1, 2, …); anche ECMO dopo ACC",PER STUDIO/FOGLIO
unique.END_DATE,END DATE,RUN,ECMO,ecmo_run_header,ECMO → RUN → END DATE,True,False,False,2,ECMO → EQUIPMENT → END DATE || ECMO → RUN → END DATE,"Ogni run ECMO (run 1, 2, …); anche ECMO dopo ACC",PER STUDIO/FOGLIO
unique.END_TIME,END TIME,RUN,ECMO,ecmo_run_header,ECMO → RUN → END TIME,True,False,False,2,ECMO → EQUIPMENT → END TIME || ECMO → RUN → END TIME,"Ogni run ECMO (run 1, 2, …); anche ECMO dopo ACC",PER STUDIO/FOGLIO
unique.MODE,MODE,RUN,ECMO,ecmo_run_header,ECMO → RUN → MODE,True,False,False,1,ECMO → RUN → MODE,"Ogni run ECMO (run 1, 2, …); anche ECMO dopo ACC",PER STUDIO/FOGLIO
unique.DATA_CONVERSIONE,DATA CONVERSIONE,RUN,ECMO,ecmo_run_header,ECMO → RUN → DATA CONVERSIONE,True,False,False,1,ECMO → RUN → DATA CONVERSIONE,"Ogni run ECMO (run 1, 2, …); anche ECMO dopo ACC",PER STUDIO/FOGLIO
unique.MODO_CONVERSIONE,MODO CONVERSIONE,RUN,ECMO,ecmo_run_header,ECMO → RUN → MODO CONVERSIONE,True,False,False,1,ECMO → RUN → MODO CONVERSIONE,"Ogni run ECMO (run 1, 2, …); anche ECMO dopo ACC",PER STUDIO/FOGLIO
patient.sdo,SDO,EQUIPMENT,ECMO,ecmo_run_repeatable,ECMO → EQUIPMENT → SDO,True,True,True,30,ACC → 6 - 12H → SDO || ACC → Ammissione → SDO || ACC → Anagrafica → SDO || ACC → Anamnesi → SDO || ACC → DAY 1 → SDO || ACC → DAY 2 → SDO || ACC → DAY 3 → SDO || ACC → Outcome → SDO || ACC → PS → SDO || ACC → Pre-H → SDO || ECMO → 24HRS ECLS ASSESSMENT → SDO || ECMO → ANAGRAFICA → SDO || ECMO → CANNULA → SDO || ECMO → CARDIAC SURGERY PROCEDURES → SDO || ECMO → CARDIAC → SDO || ECMO → CATH DURING ECMO → SDO || ECMO → COMPLICANZE → SDO || ECMO → DIAGNOSI → SDO || ECMO → ECLS CARE → SDO || ECMO → ECPR 24HRS → SDO || ECMO → ECPR ACC → SDO || ECMO → ECPR INCANULAMENTO → SDO || ECMO → ECPR_ANAMNESI → SDO || ECMO → EQUIPMENT → SDO || ECMO → INFEZIONI → SDO || ECMO → OUTCOME → SDO || ECMO → PRE-ECLS ASSESSMENT → SDO || ECMO → PRE-ECLS SUPPORT → SDO || ECMO → PROCEDURES → SDO || ECMO → RUN → SDO,Tutti: solo ACC | solo ECMO | entrambi,UNIFICARE (1 inserimento)
patient.cognome,COGNOME,EQUIPMENT,ECMO,ecmo_run_repeatable,ECMO → EQUIPMENT → COGNOME,True,True,True,30,ACC → 6 - 12H → COGNOME || ACC → Ammissione → COGNOME || ACC → Anagrafica → COGNOME || ACC → Anamnesi → COGNOME || ACC → DAY 1 → COGNOME || ACC → DAY 2 → COGNOME || ACC → DAY 3 → COGNOME || ACC → Outcome → COGNOME || ACC → PS → COGNOME || ACC → Pre-H → COGNOME || ECMO → 24HRS ECLS ASSESSMENT → COGNOME || ECMO → ANAGRAFICA → COGNOME || ECMO → CANNULA → COGNOME || ECMO → CARDIAC SURGERY PROCEDURES → COGNOME || ECMO → CARDIAC → COGNOME || ECMO → CATH DURING ECMO → COGNOME || ECMO → COMPLICANZE → COGNOME || ECMO → DIAGNOSI → COGNOME || ECMO → ECLS CARE → COGNOME || ECMO → ECPR 24HRS → COGNOME || ECMO → ECPR ACC → COGNOME || ECMO → ECPR INCANULAMENTO → COGNOME || ECMO → ECPR_ANAMNESI → COGNOME || ECMO → EQUIPMENT → COGNOME || ECMO → INFEZIONI → COGNOME || ECMO → OUTCOME → COGNOME || ECMO → PRE-ECLS ASSESSMENT → COGNOME || ECMO → PRE-ECLS SUPPORT → COGNOME || ECMO → PROCEDURES → COGNOME || ECMO → RUN → COGNOME,Tutti: solo ACC | solo ECMO | entrambi,UNIFICARE (1 inserimento)
patient.nome,NOME,EQUIPMENT,ECMO,ecmo_run_repeatable,ECMO → EQUIPMENT → NOME,True,True,True,30,ACC → 6 - 12H → NOME || ACC → Ammissione → NOME || ACC → Anagrafica → NOME || ACC → Anamnesi → NOME || ACC → DAY 1 → NOME || ACC → DAY 2 → NOME || ACC → DAY 3 → NOME || ACC → Outcome → NOME || ACC → PS → NOME || ACC → Pre-H → NOME || ECMO → 24HRS ECLS ASSESSMENT → NOME || ECMO → ANAGRAFICA → NOME || ECMO → CANNULA → NOME || ECMO → CARDIAC SURGERY PROCEDURES → NOME || ECMO → CARDIAC → NOME || ECMO → CATH DURING ECMO → NOME || ECMO → COMPLICANZE → NOME || ECMO → DIAGNOSI → NOME || ECMO → ECLS CARE → NOME || ECMO → ECPR 24HRS → NOME || ECMO → ECPR ACC → NOME || ECMO → ECPR INCANULAMENTO → NOME || ECMO → ECPR_ANAMNESI → NOME || ECMO → EQUIPMENT → NOME || ECMO → INFEZIONI → NOME || ECMO → OUTCOME → NOME || ECMO → PRE-ECLS ASSESSMENT → NOME || ECMO → PRE-ECLS SUPPORT → NOME || ECMO → PROCEDURES → NOME || ECMO → RUN → NOME,Tutti: solo ACC | solo ECMO | entrambi,UNIFICARE (1 inserimento)
ecmo.lens_id,ECMO LENS,EQUIPMENT,ECMO,ecmo_run_repeatable,ECMO → EQUIPMENT → ECMO LENS,True,False,False,20,ECMO → 24HRS ECLS ASSESSMENT → ECMO LENS || ECMO → ANAGRAFICA → ECMO LENS || ECMO → CANNULA → ECMO LENS || ECMO → CARDIAC SURGERY PROCEDURES → ECMO LENS || ECMO → CARDIAC → ECMO LENS || ECMO → CATH DURING ECMO → ECMO LENS || ECMO → COMPLICANZE → ECMO LENS || ECMO → DIAGNOSI → ECMO LENS || ECMO → ECLS CARE → ECMO LENS || ECMO → ECPR 24HRS → ECMO LENS || ECMO → ECPR ACC → ECMO LENS || ECMO → ECPR INCANULAMENTO → ECMO LENS || ECMO → ECPR_ANAMNESI → ECMO LENS || ECMO → EQUIPMENT → ECMO LENS || ECMO → INFEZIONI → ECMO LENS || ECMO → OUTCOME → ECMO LENS || ECMO → PRE-ECLS ASSESSMENT → ECMO LENS || ECMO → PRE-ECLS SUPPORT → ECMO LENS || ECMO → PROCEDURES → ECMO LENS || ECMO → RUN → ECMO LENS,Per ogni RUN ECMO attivo; shock post-ACC = nuovo run,PER STUDIO/FOGLIO
